Epoch: 147 | mean loss: 7.04312 | total acc: 0.77606 | total recall: 0.75336 | total f1 scroe: 0.76454
Epoch: 148 | mean loss: 9.79139 | total acc: 0.72984 | total recall: 0.71542 | total f1 scroe: 0.72255
Epoch: 149 | mean loss: 8.06056 | total acc: 0.75779 | total recall: 0.74941 | total f1 scroe: 0.75358
Epoch: 150 | mean loss: 6.80321 | total acc: 0.79103 | total recall: 0.78103 | total f1 scroe: 0.78600
Epoch: 151 | mean loss: 7.26382 | total acc: 0.77258 | total recall: 0.75731 | total f1 scroe: 0.76487
Epoch: 152 | mean loss: 6.85533 | total acc: 0.79049 | total recall: 0.77549 | total f1 scroe: 0.78292
Epoch: 153 | mean loss: 7.53041 | total acc: 0.76677 | total recall: 0.75889 | total f1 scroe: 0.76281
Epoch: 154 | mean loss: 8.22395 | total acc: 0.74234 | total recall: 0.74704 | total f1 scroe: 0.74468
Epoch: 155 | mean loss: 6.69322 | total acc: 0.77859 | total recall: 0.75889 | total f1 scroe: 0.76861
Epoch: 156 | mean loss: 7.27043 | total acc: 0.77696 | total recall: 0.75178 | total f1 scroe: 0.76416
Epoch: 157 | mean loss: 6.59585 | total acc: 0.78720 | total recall: 0.77787 | total f1 scroe: 0.78250
Epoch: 158 | mean loss: 6.96106 | total acc: 0.79049 | total recall: 0.77549 | total f1 scroe: 0.78292
Epoch: 159 | mean loss: 8.23168 | total acc: 0.73871 | total recall: 0.72411 | total f1 scroe: 0.73134
Epoch: 160 | mean loss: 7.80024 | total acc: 0.76006 | total recall: 0.74625 | total f1 scroe: 0.75309
Epoch: 161 | mean loss: 7.43042 | total acc: 0.77338 | total recall: 0.77154 | total f1 scroe: 0.77246
Epoch: 162 | mean loss: 7.10758 | total acc: 0.78024 | total recall: 0.78024 | total f1 scroe: 0.78024
Epoch: 163 | mean loss: 6.86739 | total acc: 0.78583 | total recall: 0.76285 | total f1 scroe: 0.77417
Epoch: 164 | mean loss: 6.96652 | total acc: 0.77490 | total recall: 0.75652 | total f1 scroe: 0.76560
Epoch: 165 | mean loss: 7.12010 | total acc: 0.77035 | total recall: 0.75573 | total f1 scroe: 0.76297
Epoch: 166 | mean loss: 8.42678 | total acc: 0.75780 | total recall: 0.72964 | total f1 scroe: 0.74346
Epoch: 167 | mean loss: 6.49853 | total acc: 0.79277 | total recall: 0.78024 | total f1 scroe: 0.78645
Epoch: 168 | mean loss: 7.07397 | total acc: 0.77679 | total recall: 0.75652 | total f1 scroe: 0.76652
Epoch: 169 | mean loss: 7.37735 | total acc: 0.76117 | total recall: 0.74071 | total f1 scroe: 0.75080
Epoch: 170 | mean loss: 6.42089 | total acc: 0.79053 | total recall: 0.77866 | total f1 scroe: 0.78455
Epoch: 171 | mean loss: 7.04042 | total acc: 0.74336 | total recall: 0.73043 | total f1 scroe: 0.73684
Epoch: 172 | mean loss: 6.67795 | total acc: 0.79200 | total recall: 0.78261 | total f1 scroe: 0.78728
Epoch: 173 | mean loss: 9.55832 | total acc: 0.74095 | total recall: 0.72806 | total f1 scroe: 0.73445
Epoch: 174 | mean loss: 7.89832 | total acc: 0.77516 | total recall: 0.75494 | total f1 scroe: 0.76492
Epoch: 175 | mean loss: 7.01253 | total acc: 0.75402 | total recall: 0.74150 | total f1 scroe: 0.74771
Epoch: 176 | mean loss: 6.63775 | total acc: 0.76104 | total recall: 0.76285 | total f1 scroe: 0.76194
Epoch: 177 | mean loss: 8.73220 | total acc: 0.77097 | total recall: 0.75573 | total f1 scroe: 0.76327
Epoch: 178 | mean loss: 9.16607 | total acc: 0.73513 | total recall: 0.73281 | total f1 scroe: 0.73397
Epoch: 179 | mean loss: 7.69113 | total acc: 0.78741 | total recall: 0.76126 | total f1 scroe: 0.77412
Epoch: 180 | mean loss: 6.36090 | total acc: 0.79100 | total recall: 0.77787 | total f1 scroe: 0.78438
Epoch: 181 | mean loss: 8.36593 | total acc: 0.75422 | total recall: 0.74229 | total f1 scroe: 0.74821
Epoch: 182 | mean loss: 6.62997 | total acc: 0.78341 | total recall: 0.76917 | total f1 scroe: 0.77623
Epoch: 183 | mean loss: 8.84161 | total acc: 0.73906 | total recall: 0.73439 | total f1 scroe: 0.73672
Epoch: 184 | mean loss: 7.68033 | total acc: 0.78439 | total recall: 0.77075 | total f1 scroe: 0.77751
Epoch: 185 | mean loss: 8.23603 | total acc: 0.77108 | total recall: 0.75889 | total f1 scroe: 0.76494
Epoch: 186 | mean loss: 8.49027 | total acc: 0.77015 | total recall: 0.76285 | total f1 scroe: 0.76648
Epoch: 187 | mean loss: 6.26955 | total acc: 0.79825 | total recall: 0.79130 | total f1 scroe: 0.79476
Epoch: 188 | mean loss: 7.64609 | total acc: 0.76130 | total recall: 0.75889 | total f1 scroe: 0.76010
Epoch: 189 | mean loss: 8.18064 | total acc: 0.78029 | total recall: 0.76364 | total f1 scroe: 0.77187
