Epoch: 162 | mean loss: 5.84069 | total acc: 0.79433 | total recall: 0.76712 | total f1 scroe: 0.78049
Epoch: 163 | mean loss: 8.16435 | total acc: 0.81961 | total recall: 0.71575 | total f1 scroe: 0.76417
Epoch: 164 | mean loss: 7.42127 | total acc: 0.82072 | total recall: 0.70548 | total f1 scroe: 0.75875
Epoch: 165 | mean loss: 9.05425 | total acc: 0.83019 | total recall: 0.60274 | total f1 scroe: 0.69841
Epoch: 166 | mean loss: 9.98307 | total acc: 0.77289 | total recall: 0.72260 | total f1 scroe: 0.74690
Epoch: 167 | mean loss: 11.98178 | total acc: 0.57398 | total recall: 0.77055 | total f1 scroe: 0.65789
Epoch: 168 | mean loss: 7.10600 | total acc: 0.81028 | total recall: 0.70205 | total f1 scroe: 0.75229
Epoch: 169 | mean loss: 6.16224 | total acc: 0.79554 | total recall: 0.73288 | total f1 scroe: 0.76292
Epoch: 170 | mean loss: 6.59634 | total acc: 0.77007 | total recall: 0.72260 | total f1 scroe: 0.74558
Epoch: 171 | mean loss: 8.47571 | total acc: 0.71959 | total recall: 0.72945 | total f1 scroe: 0.72449
Epoch: 172 | mean loss: 9.63844 | total acc: 0.68227 | total recall: 0.69863 | total f1 scroe: 0.69036
Epoch: 173 | mean loss: 10.24404 | total acc: 0.72993 | total recall: 0.68493 | total f1 scroe: 0.70671
Epoch: 174 | mean loss: 6.13681 | total acc: 0.69304 | total recall: 0.75000 | total f1 scroe: 0.72039
Epoch: 175 | mean loss: 5.79284 | total acc: 0.76744 | total recall: 0.79110 | total f1 scroe: 0.77909
Epoch: 176 | mean loss: 10.76889 | total acc: 0.85326 | total recall: 0.53767 | total f1 scroe: 0.65966
Epoch: 177 | mean loss: 9.17722 | total acc: 0.72852 | total recall: 0.72603 | total f1 scroe: 0.72727
Epoch: 178 | mean loss: 7.44705 | total acc: 0.66875 | total recall: 0.73288 | total f1 scroe: 0.69935
Epoch: 179 | mean loss: 6.84110 | total acc: 0.78472 | total recall: 0.77397 | total f1 scroe: 0.77931
Epoch: 180 | mean loss: 6.41480 | total acc: 0.74434 | total recall: 0.78767 | total f1 scroe: 0.76539
Epoch: 181 | mean loss: 7.59446 | total acc: 0.79433 | total recall: 0.76712 | total f1 scroe: 0.78049
Epoch: 182 | mean loss: 9.46562 | total acc: 0.65505 | total recall: 0.64384 | total f1 scroe: 0.64940
Epoch: 183 | mean loss: 9.70739 | total acc: 0.76173 | total recall: 0.72260 | total f1 scroe: 0.74165
Epoch: 184 | mean loss: 9.81354 | total acc: 0.56923 | total recall: 0.76027 | total f1 scroe: 0.65103
Epoch: 185 | mean loss: 8.12576 | total acc: 0.81851 | total recall: 0.78767 | total f1 scroe: 0.80279
Epoch: 186 | mean loss: 7.68198 | total acc: 0.81712 | total recall: 0.71918 | total f1 scroe: 0.76503
Epoch: 187 | mean loss: 8.92794 | total acc: 0.85957 | total recall: 0.69178 | total f1 scroe: 0.76660
Epoch: 188 | mean loss: 6.88244 | total acc: 0.77778 | total recall: 0.71918 | total f1 scroe: 0.74733
Epoch: 189 | mean loss: 9.52352 | total acc: 0.81857 | total recall: 0.66438 | total f1 scroe: 0.73346
Epoch: 190 | mean loss: 12.64536 | total acc: 0.76596 | total recall: 0.73973 | total f1 scroe: 0.75261
Epoch: 191 | mean loss: 8.23481 | total acc: 0.83582 | total recall: 0.76712 | total f1 scroe: 0.80000
Epoch: 192 | mean loss: 7.40882 | total acc: 0.73519 | total recall: 0.72260 | total f1 scroe: 0.72884
Epoch: 193 | mean loss: 7.74038 | total acc: 0.74830 | total recall: 0.75342 | total f1 scroe: 0.75085
Epoch: 194 | mean loss: 9.59624 | total acc: 0.66352 | total recall: 0.72260 | total f1 scroe: 0.69180
Epoch: 195 | mean loss: 7.40238 | total acc: 0.88285 | total recall: 0.72260 | total f1 scroe: 0.79473
Epoch: 196 | mean loss: 6.06971 | total acc: 0.81992 | total recall: 0.73288 | total f1 scroe: 0.77396
Epoch: 197 | mean loss: 10.25232 | total acc: 0.78814 | total recall: 0.63699 | total f1 scroe: 0.70455
Epoch: 198 | mean loss: 7.17191 | total acc: 0.74913 | total recall: 0.73630 | total f1 scroe: 0.74266
Epoch: 199 | mean loss: 6.27257 | total acc: 0.78102 | total recall: 0.73288 | total f1 scroe: 0.75618
